rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position,problems,smooth,distraction,strategies,easier,similar,comments
null,,learn_phase(without_color),781707,black_plus_sign,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),782666,blue,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
362.7000000476837,,rt_plussign_withcolor,783171,blue,,,,49,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_peoria.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,784223,black_plus_sign,,,,null,,,1,0.991304347826087,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,784334,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),786874,black_plus_sign,,,,null,US_Cities_List/nat_boulder.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),787329,green,,,,null,US_Cities_List/nat_boulder.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,787840,green,,,,null,US_Cities_List/nat_boulder.png,US_Cities_List/nat_hotsprings.png,,,,,,,,,,,,,,,,,,,,,,,,
1130.2999999523163,,rt_thecrossant_black,789403,black_plus_sign,,,,50,,,1,0.9913793103448276,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,789512,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),792045,black_plus_sign,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),792944,green,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,793452,green,,,,null,US_Cities_List/nat_leesburg.png,US_Cities_List/mm_newhope.png,,,,,,,,,,,,,,,,,,,,,,,,
567.1000000238419,,rt_thecrossant_black,794580,black_plus_sign,,,,50,,,1,0.9914529914529915,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,794688,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),797221,black_plus_sign,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),798272,green,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,798781,green,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
1028.1999999284744,,rt_thecrossant_black,799738,black_plus_sign,,,,50,,,1,0.9915254237288136,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,799847,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),802375,black_plus_sign,,,,null,US_Cities_List/mm_peoria.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),803102,blue,,,,null,US_Cities_List/mm_peoria.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,803610,blue,,,,null,US_Cities_List/mm_peoria.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,,,,,,,,
1284.7999999523163,,rt_thecrossant_black,804910,black_plus_sign,,,,49,,,1,0.9915966386554622,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,805022,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),807564,black_plus_sign,,,,null,US_Cities_List/mm_shreveport.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),808438,green,,,,null,US_Cities_List/mm_shreveport.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,808956,green,,,,null,US_Cities_List/mm_shreveport.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,
833.7999999523163,,rt_thecrossant_black,810100,black_plus_sign,,,,50,,,1,0.9916666666666667,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,810212,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),812748,black_plus_sign,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),813231,green,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,813738,green,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,,,,,,,,
1065.5,,rt_thecrossant_black,815274,black_plus_sign,,,,50,,,1,0.9917355371900827,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,815390,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),817930,black_plus_sign,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),818530,green,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
456.6999999284744,,rt_plussign_withcolor,819036,green,,,,50,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,820457,black_plus_sign,,,,null,,,1,0.9918032786885246,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,820560,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),823101,black_plus_sign,,,,null,US_Cities_List/mm_newhope.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),824074,green,,,,null,US_Cities_List/mm_newhope.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,824578,green,,,,null,US_Cities_List/mm_newhope.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
766.6999999284744,,rt_thecrossant_black,825632,black_plus_sign,,,,50,,,1,0.991869918699187,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,825750,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),828283,black_plus_sign,,,,null,US_Cities_List/mm_peoria.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),829311,blue,,,,null,US_Cities_List/mm_peoria.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,,,,,,,,
344.89999997615814,,rt_plussign_withcolor,829815,blue,,,,49,US_Cities_List/mm_peoria.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,830808,black_plus_sign,,,,null,,,1,0.9919354838709677,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,830915,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),833457,black_plus_sign,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_boulder.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),834556,blue,,,,null,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_boulder.png,,,,,,,,,,,,,,,,,,,,,,,,
456.6999999284744,,rt_plussign_withcolor,835062,blue,,,,49,US_Cities_List/nat_gatlinburg.png,US_Cities_List/nat_boulder.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,835977,black_plus_sign,,,,null,,,1,0.992,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,836085,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),838630,black_plus_sign,,,,null,US_Cities_List/mm_shreveport.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),839424,green,,,,null,US_Cities_List/mm_shreveport.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
505,,rt_plussign_withcolor,839933,green,,,,50,US_Cities_List/mm_shreveport.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,841159,black_plus_sign,,,,null,,,1,0.9920634920634921,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,841270,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),843816,black_plus_sign,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),844349,blue,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,844866,blue,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_cornwall.png,,,,,,,,,,,,,,,,,,,,,,,,
932.5999999046326,,rt_thecrossant_black,846345,black_plus_sign,,,,49,,,1,0.9921259842519685,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,846462,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,846571,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,
31659.100000023842,,intro_0,878232,instruct,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,
