rt,trial_type,stimulus,key_press,stimulus_left,stimulus_right,accuracy,stimulus_correct,condition,specific_pairs,city_type,partid,age
508.7,shortestpath_phase,mm_boulder.png,49.0,nat_peoria.png,nat_cornwall.png,1.0,nat_peoria.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
403.4,shortestpath_phase,nat_cornwall.png,50.0,nat_huntsville.png,mm_boulder.png,0.0,nat_huntsville.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
279.8,shortestpath_phase,nat_racine.png,49.0,nat_cornwall.png,nat_peoria.png,0.0,nat_peoria.png,Two Edge Diff,Four Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
258.7,shortestpath_phase,mm_shreveport.png,50.0,nat_huntsville.png,nat_cornwall.png,0.0,nat_huntsville.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
256.5,shortestpath_phase,nat_racine.png,50.0,mm_boulder.png,mm_leesburg.png,0.0,mm_boulder.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
318.2,shortestpath_phase,nat_cornwall.png,49.0,nat_huntsville.png,nat_racine.png,1.0,nat_huntsville.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
336.0,shortestpath_phase,mm_boulder.png,50.0,nat_cornwall.png,mm_leesburg.png,1.0,mm_leesburg.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
320.9,shortestpath_phase,mm_westpalmbeach.png,50.0,nat_gatlinburg.png,nat_racine.png,0.0,nat_gatlinburg.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
245.0,shortestpath_phase,nat_cornwall.png,49.0,mm_boulder.png,nat_racine.png,1.0,mm_boulder.png,One Edge Diff,Five Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
314.4,shortestpath_phase,mm_westpalmbeach.png,50.0,nat_peoria.png,nat_gatlinburg.png,0.0,nat_peoria.png,Three Edge Diff,Three Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
211.0,shortestpath_phase,nat_gatlinburg.png,50.0,mm_leesburg.png,nat_racine.png,1.0,nat_racine.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
227.5,shortestpath_phase,mm_westpalmbeach.png,49.0,nat_racine.png,mm_leesburg.png,0.0,mm_leesburg.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
283.9,shortestpath_phase,nat_peoria.png,50.0,nat_racine.png,mm_hotsprings.png,1.0,mm_hotsprings.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
250.9,shortestpath_phase,nat_cornwall.png,49.0,mm_hotsprings.png,mm_leesburg.png,0.0,mm_leesburg.png,Two Edge Diff,Two Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
246.8,shortestpath_phase,mm_westpalmbeach.png,50.0,nat_gatlinburg.png,mm_shreveport.png,1.0,mm_shreveport.png,Two Edge Diff,Three Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
276.8,shortestpath_phase,nat_hanover.png,49.0,nat_newhope.png,nat_racine.png,1.0,nat_newhope.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
241.9,shortestpath_phase,mm_boulder.png,50.0,nat_huntsville.png,nat_hanover.png,0.0,nat_huntsville.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
293.8,shortestpath_phase,mm_carmel.png,49.0,nat_gatlinburg.png,nat_cornwall.png,1.0,nat_gatlinburg.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
164.8,shortestpath_phase,nat_cornwall.png,50.0,nat_huntsville.png,nat_gatlinburg.png,0.0,nat_huntsville.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
225.2,shortestpath_phase,nat_racine.png,50.0,nat_gatlinburg.png,nat_peoria.png,0.0,nat_gatlinburg.png,One Edge Diff,Three Edge Four Edge,US,67cf70ec9741a100ffc7f570,old
237.2,shortestpath_phase,nat_huntsville.png,50.0,nat_newhope.png,nat_racine.png,0.0,nat_newhope.png,Three Edge Diff,Two Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
115.2,shortestpath_phase,nat_hanover.png,49.0,nat_gatlinburg.png,mm_boulder.png,0.0,mm_boulder.png,One Edge Diff,Four Edge Five Edge,US,67cf70ec9741a100ffc7f570,old
170.0,shortestpath_phase,nat_cornwall.png,50.0,mm_leesburg.png,nat_gatlinburg.png,0.0,mm_leesburg.png,Four Edge Diff,Two Edge Six Edge,US,67cf70ec9741a100ffc7f570,old
