rt,responses,trial_type,time_elapsed,image_type,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
3829,,shortestpath_phase,3476544,,,../static/images/US_Cities_List/boulder.png,,,,,49,../static/images/US_Cities_List/gatlinburg.png,../static/images/US_Cities_List/westpalmbeach.png,0.7142857142857143,1,,,,../static/images/US_Cities_List/gatlinburg.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,3477549,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2902.7000000029802,,shortestpath_phase,3480480,,,../static/images/US_Cities_List/hanover.png,,,,,50,../static/images/US_Cities_List/leesburg.png,../static/images/US_Cities_List/peoria.png,0.6666666666666666,0,,,,../static/images/US_Cities_List/leesburg.png,,,,,Two Edge Diff,Four Edge Six Edge,,,,,,
null,,html-keyboard-response,3481485,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3988.60000000149,,shortestpath_phase,3485496,,,../static/images/US_Cities_List/peoria.png,,,,,50,../static/images/US_Cities_List/shreveport.png,../static/images/US_Cities_List/boulder.png,0.625,0,,,,../static/images/US_Cities_List/shreveport.png,,,,,One Edge Diff,Five Edge Six Edge,,,,,,
null,,html-keyboard-response,3486501,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
3183.39999999851,,shortestpath_phase,3489712,,,../static/images/US_Cities_List/boulder.png,,,,,49,../static/images/US_Cities_List/westpalmbeach.png,../static/images/US_Cities_List/newhope.png,0.5882352941176471,0,,,,../static/images/US_Cities_List/newhope.png,,,,,One Edge Diff,Four Edge Five Edge,,,,,,
null,,html-keyboard-response,3490718,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
2539.199999999255,,shortestpath_phase,3493280,,,../static/images/US_Cities_List/hanover.png,,,,,50,../static/images/US_Cities_List/huntsville.png,../static/images/US_Cities_List/carmel.png,0.5555555555555556,0,,,,../static/images/US_Cities_List/huntsville.png,,,,,Three Edge Diff,Three Edge Six Edge,,,,,,
null,,html-keyboard-response,3494286,,,<p></p>,,,,,null,,,,,,,,,,,,,,,,,,,,
