rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
1583.7000000001863,,rt_thecrossant_black,640314,,black_plus_sign,,,,,49,,,1,0.975,,,,,,,,,,,,,,,,
null,,color_black,640417,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),643431,,black_plus_sign,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),644352,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,644855,,green,,,,,null,US_Cities_List/gong.png,US_Cities_List/snail.png,,,,,,,,,,,,,,,,,,
1120.3999999994412,,rt_thecrossant_black,645942,,black_plus_sign,,,,,50,,,1,0.975609756097561,,,,,,,,,,,,,,,,
null,,color_black,646046,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),649058,,black_plus_sign,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),649927,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,650430,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/dustpan.png,,,,,,,,,,,,,,,,,,
1207.4000000003725,,rt_thecrossant_black,651567,,black_plus_sign,,,,,49,,,1,0.9761904761904762,,,,,,,,,,,,,,,,
null,,color_black,651671,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),654688,,black_plus_sign,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),655587,,blue,,,,,null,US_Cities_List/teeth.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,
