"rt","responses","trial_type","time_elapsed","sequence","stimulus","cities","city_images","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","detour_trial","linedressed_detor","testedstates","currentstate","otherstate","problems","smooth","distraction","strategies","easier","similar","comments"
"null","","rt_plussign_withcolor","844667","","blue","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"537.7999999970198","","rt_thecrossant_black","846210","","black_plus_sign","","","","","49","","","1","0.975","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","846315","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","849327","","black_plus_sign","","","","","null","US_Cities_List/camera.png","US_Cities_List/dustpan.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","849750","","blue","","","","","null","US_Cities_List/camera.png","US_Cities_List/dustpan.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","850253","","blue","","","","","null","US_Cities_List/camera.png","US_Cities_List/dustpan.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"818.7999999970198","","rt_thecrossant_black","851839","","black_plus_sign","","","","","49","","","1","0.9753086419753086","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","851943","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","854961","","black_plus_sign","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","855952","","green","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","856455","","green","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1224.2999999970198","","rt_thecrossant_black","857473","","black_plus_sign","","","","","50","","","1","0.975609756097561","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","857577","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","860593","","black_plus_sign","","","","","null","US_Cities_List/gong.png","US_Cities_List/paint.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","861483","","blue","","","","","null","US_Cities_List/gong.png","US_Cities_List/paint.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"437.30000001192093","","rt_plussign_withcolor","861986","","blue","","","","","49","US_Cities_List/gong.png","US_Cities_List/paint.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","863103","","black_plus_sign","","","","","null","","","1","0.9759036144578314","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","863207","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","866222","","black_plus_sign","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","866642","","green","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","867145","","green","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1193.9000000059605","","rt_thecrossant_black","868733","","black_plus_sign","","","","","50","","","1","0.9761904761904762","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","868837","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","871852","","black_plus_sign","","","","","null","US_Cities_List/dustpan.png","US_Cities_List/camera.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","872595","","green","","","","","null","US_Cities_List/dustpan.png","US_Cities_List/camera.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"485.80000001192093","","rt_plussign_withcolor","873098","","green","","","","","50","US_Cities_List/dustpan.png","US_Cities_List/camera.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","874362","","black_plus_sign","","","","","null","","","1","0.9764705882352941","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","874467","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","877481","","black_plus_sign","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","878110","","green","","","","","null","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"499.59999999403954","","rt_plussign_withcolor","878612","","green","","","","","50","US_Cities_List/snail.png","US_Cities_List/wheelchair.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","879992","","black_plus_sign","","","","","null","","","1","0.9767441860465116","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","880095","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","883107","","black_plus_sign","","","","","null","US_Cities_List/jukebox.png","US_Cities_List/soldier.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","883957","","blue","","","","","null","US_Cities_List/jukebox.png","US_Cities_List/soldier.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","884461","","blue","","","","","null","US_Cities_List/jukebox.png","US_Cities_List/soldier.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"902.7999999970198","","rt_thecrossant_black","885618","","black_plus_sign","","","","","49","","","1","0.9770114942528736","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","885723","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","888742","","black_plus_sign","","","","","null","US_Cities_List/wheelchair.png","US_Cities_List/snail.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","889483","","blue","","","","","null","US_Cities_List/wheelchair.png","US_Cities_List/snail.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","889986","","blue","","","","","null","US_Cities_List/wheelchair.png","US_Cities_List/snail.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288.9000000059605","","rt_thecrossant_black","891254","","black_plus_sign","","","","","49","","","1","0.9772727272727273","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","891359","","black_plus_sign","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","894374","","black_plus_sign","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","895142","","green","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","895645","","green","","","","","null","US_Cities_List/soldier.png","US_Cities_List/jukebox.png","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
