rt,responses,trial_type,time_elapsed,stimulus,cities,city_images,button_pressed,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,image_position
null,,rt_plussign_withcolor,313520,blue,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
923.2999999970198,,rt_thecrossant_black,314512,black_plus_sign,,,,49,,,1,0.9375,,,,,,,,,,,,,,,
null,,color_black,314616,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),317153,black_plus_sign,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),318013,blue,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,318517,blue,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
1424.800000011921,,rt_thecrossant_black,319664,black_plus_sign,,,,49,,,1,0.9393939393939394,,,,,,,,,,,,,,,
null,,color_black,319767,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),322291,black_plus_sign,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),322833,blue,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
475.29999999701977,,rt_plussign_withcolor,323336,blue,,,,49,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,324802,black_plus_sign,,,,null,,,1,0.9411764705882353,,,,,,,,,,,,,,,
null,,color_black,324906,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),327443,black_plus_sign,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),328131,blue,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,328635,blue,,,,null,US_Cities_List/nat_huntsville.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
644.6000000089407,,rt_thecrossant_black,329954,black_plus_sign,,,,49,,,1,0.9428571428571428,,,,,,,,,,,,,,,
null,,color_black,330059,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),332596,black_plus_sign,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),333356,green,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,333858,green,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_huntsville.png,,,,,,,,,,,,,,,,,
1056.3999999910593,,rt_thecrossant_black,335106,black_plus_sign,,,,50,,,1,0.9444444444444444,,,,,,,,,,,,,,,
null,,color_black,335211,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),337756,black_plus_sign,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),338463,blue,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,338966,blue,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
1079.2999999970198,,rt_thecrossant_black,340267,black_plus_sign,,,,49,,,1,0.9459459459459459,,,,,,,,,,,,,,,
null,,color_black,340371,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),342907,black_plus_sign,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),343435,green,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,343938,green,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
1797.1000000089407,,rt_thecrossant_black,345419,black_plus_sign,,,,50,,,1,0.9473684210526315,,,,,,,,,,,,,,,
null,,color_black,345523,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),348057,black_plus_sign,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/mm_boulder.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),349108,green,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/mm_boulder.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,349611,green,,,,null,US_Cities_List/nat_newhope.png,US_Cities_List/mm_boulder.png,,,,,,,,,,,,,,,,,
784.0999999940395,,rt_thecrossant_black,350567,black_plus_sign,,,,50,,,1,0.9487179487179487,,,,,,,,,,,,,,,
null,,color_black,350670,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),353209,black_plus_sign,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),354143,green,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,354646,green,,,,null,US_Cities_List/mm_boulder.png,US_Cities_List/mm_shreveport.png,,,,,,,,,,,,,,,,,
1403.300000011921,,rt_thecrossant_black,355720,black_plus_sign,,,,50,,,1,0.95,,,,,,,,,,,,,,,
null,,color_black,355823,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),358362,black_plus_sign,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),359221,blue,,,,null,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
477.59999999403954,,rt_plussign_withcolor,359724,blue,,,,49,US_Cities_List/mm_leesburg.png,US_Cities_List/nat_newhope.png,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,360872,black_plus_sign,,,,null,,,1,0.9512195121951219,,,,,,,,,,,,,,,
null,,color_black,360977,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),363518,black_plus_sign,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),364257,green,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,364760,green,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/nat_carmel.png,,,,,,,,,,,,,,,,,
1527,,rt_thecrossant_black,366030,black_plus_sign,,,,49,,,0,0.9285714285714286,,,,,,,,,,,,,,,
null,,color_black,366134,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),368671,black_plus_sign,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),369258,blue,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,369762,blue,,,,null,US_Cities_List/nat_racine.png,US_Cities_List/mm_cornwall.png,,,,,,,,,,,,,,,,,
1278.5999999940395,,rt_thecrossant_black,371183,black_plus_sign,,,,49,,,1,0.9302325581395349,,,,,,,,,,,,,,,
null,,color_black,371287,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),373815,black_plus_sign,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),374600,blue,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,375104,blue,,,,null,US_Cities_List/nat_carmel.png,US_Cities_List/mm_hanover.png,,,,,,,,,,,,,,,,,
1505.7000000029802,,rt_thecrossant_black,376326,black_plus_sign,,,,49,,,1,0.9318181818181818,,,,,,,,,,,,,,,
null,,color_black,376429,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),378959,black_plus_sign,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),379497,blue,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,380000,blue,,,,null,US_Cities_List/mm_hanover.png,US_Cities_List/nat_peoria.png,,,,,,,,,,,,,,,,,
887.9000000059605,,rt_thecrossant_black,381469,black_plus_sign,,,,49,,,1,0.9333333333333333,,,,,,,,,,,,,,,
null,,color_black,381573,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
