rt,responses,trial_type,time_elapsed,sequence,stimulus,cities,city_images,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,testedstates,currentstate,otherstate,problems,smooth,distraction,strategies,easier,similar,comments,detectfocus
null,,learn_phase(without_color),612032,,black_plus_sign,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),612613,,green,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,613116,,green,,,,,null,US_Cities_List/snail.png,US_Cities_List/globe.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104.1000000000931,,rt_thecrossant_black,614541,,black_plus_sign,,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,614644,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),617657,,black_plus_sign,,,,,null,US_Cities_List/camera.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),618063,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,618566,,blue,,,,,null,US_Cities_List/camera.png,US_Cities_List/wheelchair.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784.6999999999534,,rt_thecrossant_black,620167,,black_plus_sign,,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,620271,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),623286,,black_plus_sign,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),624183,,green,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,624685,,green,,,,,null,US_Cities_List/basket.png,US_Cities_List/barrel.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548.6000000000931,,rt_thecrossant_black,625794,,black_plus_sign,,,,,49,,,0,0.9696969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,625898,,black_plus_sign,,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),628913,,black_plus_sign,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),629746,,blue,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,630249,,blue,,,,,null,US_Cities_List/jukebox.png,US_Cities_List/hat.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
